,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Bennet,N/A,0.06325170024274462,-0.0,0.2910738645298291,-0.0,-0.0,0.21321424651196308,-0.0,0.11796365402306698,0.00017008758805283651,0.20614114799549982,0.0057468988084519,0.0013323527730805527,0.10110604752731087
Biden,-0.0,N/A,3.3236154618498206e-05,0.32903209333372685,-0.0,-0.0,0.23259925495094644,-0.0,0.11609143737188492,0.004742813841320491,0.22087675387208253,0.008159197794979487,0.012986788902703139,0.07547842377773778
Bloomberg,-0.0,0.07277969853113804,N/A,0.3149487836395168,-0.0,-0.0,0.18378968123874007,-0.0,0.09405612045892725,0.0019298473859001438,0.2007414094610714,0.006248601203985702,0.0034791818143696312,0.12202667626635103
Buttigieg,-0.0,0.09932348007386223,-0.0,N/A,-0.0,-0.0,0.29126356937852327,-0.0,0.14316643047956476,0.007252339954476962,0.27495789616210814,0.03368593125547389,0.00463391017349847,0.14571644252249236
Delaney,-0.0,-0.0,-0.0,0.44881364969341514,N/A,-0.0,0.053319114902692616,-0.0,0.06238336443615037,-0.0,0.435483870967742,-0.0,-0.0,-0.0
Gabbard,-0.0,0.05697165064519398,-0.0,0.34455609763440553,-0.0,N/A,0.13319691990051213,-0.0,0.14874784954558462,3.4736975245476424e-05,0.23929597474254857,0.005990375186688356,0.0009340593076256897,0.07027233606219552
Klobuchar,-0.0,0.10616770481897736,-0.0,0.4567635551512273,-0.0,1.456157450041075e-05,N/A,-0.0,0.1174048716025352,0.003886740612758289,0.2308597201014984,0.005881866480116977,0.013002785152382576,0.0660181945060036
Patrick,-0.0,0.020675135746893104,-0.0,0.28705145263219084,-0.0,-0.0,0.1493174922738589,N/A,0.1909716270109418,-0.0,0.31857053200288465,0.015649696231467634,-0.0,0.017764064101762938
Sanders,-0.0,0.07036128047904724,-0.0,0.32269678975626354,-0.0,-0.0,0.20212073865072855,-0.0,N/A,0.011588415029230859,0.3209423925844846,0.0244245504275686,0.004184039299900384,0.043681793772776305
Steyer,-0.0,0.07793959571529398,-0.0,0.35027240657263015,-0.0,1.187382825558942e-05,0.1810691253743475,-0.0,0.11947522841058521,N/A,0.20207598269832885,0.005510594434566119,0.011263512373166007,0.05238168059282668
Warren,-0.0,0.10853902535530986,-0.0,0.35601004999320945,-0.0,-0.0,0.24370876580667947,-0.0,0.2266824793788909,0.008044220790672397,N/A,0.009145933320092,0.002614599106404168,0.04525492624874175
Yang,-0.0,0.07304070581274448,1.9296030553083507e-05,0.3438660145523671,-0.0,9.004814258105637e-06,0.17384515078878418,-0.0,0.1355322914231392,0.0020483357064659796,0.2055119639853489,N/A,0.008853513550904015,0.05727372333543505
Other,-0.0,0.05290009668821059,-0.0,0.37052800320618806,-0.0,7.996791721622207e-05,0.1328280687724416,-0.0,0.07514080852477034,0.0005331194481081471,0.32363738041456286,0.000959615006594665,N/A,0.04339294002190746
Uncommitted,-0.0,0.0775155318393518,4.993441816893366e-05,0.3195894120504225,-0.0,-0.0,0.2213564826375791,-0.0,0.13064492715801512,0.0022532906198731314,0.22292162200591617,0.006374545411574288,0.019294253859098866,N/A
